index1,index2,distance
ANG MO KIO AVE 1,54011,0.07135123658942366
ANG MO KIO AVE 1,54019,0.07994448214796902
ANG MO KIO AVE 1,54071,0.1610027868510872
ANG MO KIO AVE 3,54009,0.2398546193344225
ANG MO KIO AVE 3,54241,0.12450888513846473
ANG MO KIO AVE 3,54247,0.057948526997816066
ANG MO KIO AVE 3,54248,0.06170203456127768
ANG MO KIO AVE 3,54031,0.26552253883987975
ANG MO KIO ST 31,54071,0.28604224537076556
ANG MO KIO ST 31,54081,0.22301058367475182
ANG MO KIO ST 32,54091,0.28056780620501875
ANG MO KIO ST 32,54311,0.28873955837763887
ANG MO KIO ST 32,54321,0.042738409575857714
ANG MO KIO ST 32,54319,0.24266921965424187
ANG MO KIO ST 32,54329,0.08001559189324274
ANG MO KIO AVE 4,54169,0.06959897161016103
ANG MO KIO AVE 4,54181,0.20606984838620712
ANG MO KIO AVE 4,54211,0.2604646144736181
ANG MO KIO AVE 4,54219,0.28440521766654153
ANG MO KIO AVE 4,56289,0.2637860133369704
ANG MO KIO AVE 4,54161,0.09018614509856794
ANG MO KIO AVE 4,54189,0.2335064690424304
ANG MO KIO AVE 4,56241,0.2526911442453725
ANG MO KIO AVE 2,56261,0.08138300816068925
ANG MO KIO AVE 2,56289,0.20131825427576572
ANG MO KIO ST 21,54061,0.2599482497864397
ANG MO KIO ST 21,54169,0.14961962466943846
ANG MO KIO ST 21,54181,0.25286110002566453
ANG MO KIO ST 21,54211,0.23557859618163998
ANG MO KIO ST 21,54219,0.272829824330789
ANG MO KIO ST 21,56289,0.24846978766592637
ANG MO KIO ST 21,54161,0.170510702898088
ANG MO KIO ST 21,54189,0.27638433477219027
ANG MO KIO AVE 6,54039,0.08879567809606402
ANG MO KIO AVE 6,54049,0.29397814454335314
ANG MO KIO AVE 6,54241,0.2470797968460996
ANG MO KIO AVE 6,54239,0.2550472710903778
ANG MO KIO AVE 6,54031,0.10696712484626224
ANG MO KIO AVE 6,54041,0.2870350088669205
ANG MO KIO AVE 5,55111,0.17645570408107275
ANG MO KIO AVE 5,56251,0.20547375256623462
ANG MO KIO AVE 5,55119,0.1891384241386357
ANG MO KIO AVE 5,56259,0.14988742866426058
ANG MO KIO ST 11,54229,0.23670928412121736
ANG MO KIO ST 11,54189,0.29394780277568183
ANG MO KIO ST 11,54221,0.18820058472787626
ANG MO KIO AVE 10,54319,0.28359542954403366
ANG MO KIO AVE 10,54369,0.26678063477679215
ANG MO KIO AVE 10,54371,0.14562989924670394
ANG MO KIO AVE 10,54379,0.2075251602914426
ANG MO KIO AVE 10,54601,0.18913279645959916
ANG MO KIO AVE 10,54609,0.19426600862998916
ANG MO KIO AVE 8,54341,0.2590268676261775
ANG MO KIO AVE 8,54349,0.22619545238256958
ANG MO KIO AVE 8,54359,0.13645162527830748
ANG MO KIO AVE 8,54401,0.2769774925267735
ANG MO KIO AVE 8,54441,0.10952732625923131
ANG MO KIO AVE 8,54449,0.09152159355727009
ANG MO KIO AVE 8,54351,0.17196809817859515
ANG MO KIO ST 52,54401,0.005259948733319874
ANG MO KIO ST 52,54409,0.06152064969506835
ANG MO KIO ST 52,54411,0.29634814782091035
ANG MO KIO ST 52,54441,0.1709006807747897
ANG MO KIO ST 52,54449,0.20639494775402314
ANG MO KIO AVE 9,55131,0.29944372966517246
ANG MO KIO AVE 9,55141,0.12649655949359015
ANG MO KIO AVE 9,55149,0.12188851416261803
ANG MO KIO AVE 9,55151,0.13265922977362876
ANG MO KIO AVE 9,55159,0.1575933711351505
ANG MO KIO AVE 9,55169,0.2229045381498519
ANG MO KIO ST 61,55131,0.22273141446444755
ANG MO KIO ST 61,55139,0.2889434719103818
ANG MO KIO ST 61,55141,0.21687098831705698
ANG MO KIO ST 61,55149,0.189157913652543
ANG MO KIO ST 61,55151,0.23479078469171255
ANG MO KIO ST 61,55159,0.2230991124539967
ANG MO KIO ST 61,55169,0.016530876663513695
ANG MO KIO ST 61,55199,0.27954586946664245
